,Start,End,Twoday,Meeting,Press Conference,Record of Policy Actions,Minutes,Beige Book,Tealbook A,Tealbook B,Greenbook,Bluebook,Redbook,Longer-Run Goals,Memoranda,Statement,Supplement,Transcript,Individual Projections
0,1936-03-18 00:00:00,1936-03-18 00:00:00,0,Meeting,0,,Documents/Minutes/1936/FOMChistmin19360318.pdf,,,,,,,,,,,,
1,1936-03-19 00:00:00,1936-03-19 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1936/fomcropa19360319.pdf,Documents/Minutes/1936/FOMChistmin19360319.pdf,,,,,,,,,,,,
2,1936-05-25 00:00:00,1936-05-25 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1936/fomcropa19360525.pdf,Documents/Minutes/1936/FOMChistmin19360525.pdf,,,,,,,,,,,,
3,1936-11-19 00:00:00,1936-11-19 00:00:00,0,Meeting,0,,Documents/Minutes/1936/FOMChistmin19361119.pdf,,,,,,,,,,,,
4,1936-11-20 00:00:00,1936-11-20 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1936/fomcropa19361120.pdf,Documents/Minutes/1936/FOMChistmin19361120.pdf,,,,,,,,,,,,
5,1937-01-26 00:00:00,1937-01-26 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1937/fomcropa19370126.pdf,Documents/Minutes/1937/FOMChminfc119370126.pdf;Documents/Minutes/1937/FOMChminfc219370126.pdf,,,,,,,,,,,,
6,1937-03-15 00:00:00,1937-03-15 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1937/fomcropa19370315.pdf,Documents/Minutes/1937/FOMChistmin19370315.pdf,,,,,,,,,,,,
7,1937-04-03 00:00:00,1937-04-04 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1937/fomcropa19370404.pdf,Documents/Minutes/1937/FOMChistmin19370504.pdf,,,,,,,,,,,,
8,1937-05-04 00:00:00,1937-05-05 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1937/fomcropa19370505.pdf,Documents/Minutes/1937/FOMChistmin19370505.pdf,,,,,,,,,,,,
9,1937-06-09 00:00:00,1937-06-09 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1937/fomcropa19370609.pdf,Documents/Minutes/1937/FOMChistmin19370609.pdf,,,,,,,,,,,,
10,1937-09-11 00:00:00,1937-09-12 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1937/fomcropa19370912.pdf,Documents/Minutes/1937/FOMChistmin19370912.pdf,,,,,,,,,,,,
11,1937-11-29 00:00:00,1937-12-01 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1937/fomcropa19371201.pdf,Documents/Minutes/1937/FOMChistmin19371201.pdf,,,,,,,,,,,,
12,1938-02-28 00:00:00,1938-03-01 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1938/fomcropa19380301.pdf,Documents/Minutes/1938/FOMChistmin19380301.pdf,,,,,,,,,,,,
13,1938-04-21 00:00:00,1938-04-22 00:00:00,1,Meeting,0,Documents/Record of Policy Actions/1938/fomcropa19380422.pdf,Documents/Minutes/1938/FOMChistmin19380422.pdf,,,,,,,,,,,,
14,1938-04-29 00:00:00,1938-04-29 00:00:00,0,Meeting,0,Documents/Record of Policy Actions/1938/fomcropa19380429.pdf,Documents/Minutes/1938/FOMChistmin19380429.pdf,,,,,,,,,,,,
